"Token","State","Element","Design attribute","Role","Value"
"md.comp.text-field.filled.disabled.active-indicator.color",,,"Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.disabled.active-indicator.opacity",,,"Opacity","-","38%"
"md.comp.text-field.filled.disabled.label-text.color",,"Label text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.disabled.label-text.opacity",,,"Opacity","-","38%"
"md.comp.text-field.filled.disabled.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.disabled.input-text.opacity",,,"Opacity","-","38%"
"md.comp.text-field.filled.disabled.supporting-text.color",,"Supporting text (optional)","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.disabled.supporting-text.opacity",,,"Opacity","-","38%"
"md.comp.text-field.filled.disabled.leading-icon.color",,"Leading icon (optional)","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.disabled.leading-icon.opacity",,,"Opacity","-","38%"
"md.comp.text-field.filled.disabled.trailing-icon.color",,"Trailing icon (optional)","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.disabled.trailing-icon.opacity",,,"Opacity","-","38%"
