"Token","State","Element","Design attribute","Role","Value"
"md.comp.text-field.outlined.enabled.input-text.font",,,"Font","Body large","md.sys.typescale.body-large.font"
"md.comp.text-field.outlined.enabled.input-text.line-height",,,"Line height","Body large","md.sys.typescale.body-large.line-height"
"md.comp.text-field.outlined.enabled.input-text.size",,,"Size","Body large","md.sys.typescale.body-large.size"
"md.comp.text-field.outlined.enabled.input-text.weight",,,"Weight","Body large","md.sys.typescale.body-large.weight"
"md.comp.text-field.outlined.enabled.input-text.tracking",,,"Tracking","Body large","md.sys.typescale.body-large.tracking"
"md.comp.text-field.outlined.enabled.supporting-text.color",,"Supporting text (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.enabled.supporting-text.font",,,"Font","Body small","md.sys.typescale.body-small.font"
"md.comp.text-field.outlined.enabled.supporting-text.line-height",,,"Line height","Body small","md.sys.typescale.body-small.line-height"
"md.comp.text-field.outlined.enabled.supporting-text.size",,,"Size","Body small","md.sys.typescale.body-small.size"
"md.comp.text-field.outlined.enabled.supporting-text.weight",,,"Weight","Body small","md.sys.typescale.body-small.weight"
"md.comp.text-field.outlined.enabled.supporting-text.tracking",,,"Tracking","Body small","md.sys.typescale.body-small.tracking"
"md.comp.text-field.outlined.enabled-not-shown-in-diagram.placeholder-input-text.color",,"Placeholder Input text (not shown in diagram)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.enabled-not-shown-in-diagram.suffix-input-text.color",,"Suffix Input text (not shown in diagram)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.enabled-not-shown-in-diagram.prefix-input-text.color",,"Prefix Input text (not shown in diagram)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.disabled.outline.outline","Disabled","Outline","Outline","-","1dp"
"md.comp.text-field.outlined.disabled.outline.outline-color",,,"Outline Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.disabled.outline.outline-opacity",,,"Outline Opacity","-","12%"
"md.comp.text-field.outlined.disabled.label-text.color",,"Label text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.disabled.label-text.opacity",,,"Opacity","-","38%"
"md.comp.text-field.outlined.disabled.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.disabled.input-text.opacity",,,"Opacity","-","38%"
"md.comp.text-field.outlined.disabled.supporting-text.color",,"Supporting text (optional)","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.disabled.supporting-text.opacity",,,"Opacity","-","38%"
"md.comp.text-field.outlined.disabled.leading-icon.color",,"Leading icon (optional)","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.disabled.leading-icon.opacity",,,"Opacity","-","38%"
"md.comp.text-field.outlined.disabled.trailing-icon.color",,"Trailing icon (optional)","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.disabled.trailing-icon.opacity",,,"Opacity","-","38%"
"md.comp.text-field.outlined.disabled.trailing-icon.opacity",,,,,
"md.comp.text-field.outlined.focused.outline.outline-width","Focused","Outline","Outline width","-","2dp"
"md.comp.text-field.outlined.focused.outline.outline-color",,,"Outline color","Primary","md.sys.color.primary"
"md.comp.text-field.outlined.focused.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.text-field.outlined.focused.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.focused.supporting-text.color",,"Supporting text (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.focused.leading-icon.color",,"Leading icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.focused.trailing-icon.color",,"Trailing icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.focused.trailing-icon.color",,,,,
"md.comp.text-field.outlined.hovered.outline.outline-width","Hovered","Outline","Outline width","-","1dp"
"md.comp.text-field.outlined.hovered.outline.outline-color",,,"Outline color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.hovered.label-text.color",,"Label text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.hovered.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.hovered.supporting-text.color",,"Supporting text (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.hovered.leading-icon.color",,"Leading icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.hovered.trailing-icon.color",,"Trailing icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
