"Token","Role","Value"
"md.ref.palette.neutral10","Neutral","#1c1b1e"
"md.ref.palette.neutral12","Neutral","#201f22"
"md.ref.palette.neutral17","Neutral","#2b292d"
"md.ref.palette.neutral20","Neutral","#313033"
"md.ref.palette.neutral22","Neutral","#363438"
"md.ref.palette.neutral24","Neutral","#3a383c"
"md.ref.palette.neutral30","Neutral","#48464a"
"md.ref.palette.neutral40","Neutral","#605d62"
"md.ref.palette.neutral50","Neutral","#79767a"
"md.ref.palette.neutral60","Neutral","#938f94"
"md.ref.palette.neutral80","Neutral","#cac5ca"
"md.ref.palette.neutral87","Neutral","#ddd8dd"
"md.ref.palette.neutral90","Neutral","#e6e1e6"
"md.ref.palette.neutral92","Neutral","#ece7eb"
"md.ref.palette.neutral95","Neutral","#f4eff4"
"md.ref.palette.neutral96","Neutral","#f7f2f7"
"md.ref.palette.neutral98","Neutral","#fdf8fd"
"md.ref.palette.neutral100","Neutral","#ffffff"
"md.ref.palette.neutral-variant0","Neutral Variant","#000000"
"md.ref.palette.neutral-variant4","Neutral Variant","#0f0d14"
"md.ref.palette.neutral-variant6","Neutral Variant","#14121a"
"md.ref.palette.neutral-variant10","Neutral Variant","#1d1a22"
"md.ref.palette.neutral-variant12","Neutral Variant","#211e26"
"md.ref.palette.neutral-variant17","Neutral Variant","#2b2931"
"md.ref.palette.neutral-variant20","Neutral Variant","#322f37"
"md.ref.palette.neutral-variant22","Neutral Variant","#36333c"
"md.ref.palette.neutral-variant24","Neutral Variant","#3b3840"
"md.ref.palette.neutral-variant30","Neutral Variant","#49454e"
"md.ref.palette.neutral-variant40","Neutral Variant","#615d66"
"md.ref.palette.neutral-variant50","Neutral Variant","#7a757f"
"md.ref.palette.neutral-variant60","Neutral Variant","#948f99"
"md.ref.palette.neutral-variant80","Neutral Variant","#cac4cf"
"md.ref.palette.neutral-variant87","Neutral Variant","#ded8e3"
"md.ref.palette.neutral-variant90","Neutral Variant","#e7e0eb"
"md.ref.palette.neutral-variant92","Neutral Variant","#ece6f1"
"md.ref.palette.neutral-variant95","Neutral Variant","#f5eefa"
"md.ref.palette.neutral-variant96","Neutral Variant","#f8f1fd"
"md.ref.palette.neutral-variant98","Neutral Variant","#fdf7ff"
"md.ref.palette.neutral-variant100","Neutral Variant","#ffffff"
"md.ref.palette.error0","Error","#000000"
"md.ref.palette.error4","Error","#280001"
"md.ref.palette.error6","Error","#310001"
"md.ref.palette.error10","Error","#410002"
"md.ref.palette.error12","Error","#490002"
"md.ref.palette.error17","Error","#5c0004"
"md.ref.palette.error20","Error","#690005"
"md.ref.palette.error22","Error","#710005"
"md.ref.palette.error24","Error","#790006"
"md.ref.palette.error30","Error","#93000a"
"md.ref.palette.error40","Error","#ba1a1a"
"md.ref.palette.error50","Error","#de3730"
"md.ref.palette.error60","Error","#ff5449"
"md.ref.palette.error80","Error","#ffb4ab"
"md.ref.palette.error87","Error","#ffcfc9"
"md.ref.palette.error90","Error","#ffdad6"
"md.ref.palette.error92","Error","#ffe2de"
"md.ref.palette.error95","Error","#ffedea"
"md.ref.palette.error96","Error","#fff0ee"
"md.ref.palette.error98","Error","#fff8f7"
"md.ref.palette.error100","Error","#ffffff"
